28,079,008,43,02,02,2020,02,25,01.53,V,01.57,V,01.59,V,01.52,V,01.64,V,01.89,V,02.19,V,02.33,V,02.94,V,03.36,V,03.07,V,02.77,N,02.46,V,01.61,V,01.47,V,01.42,V,01.40,V,01.40,V,01.40,V,01.40,V,01.39,V,01.40,V,01.41,V,00000,N
28,079,008,44,02,02,2020,02,25,00.17,V,00.20,V,00.21,V,00.14,V,00.17,V,00.20,V,00.19,V,00.23,V,00.24,V,00.29,V,00.27,V,00.21,N,00.17,V,00.11,V,00.12,V,00.10,V,00.08,V,00.08,V,00.07,V,00.07,V,00.06,V,00.06,V,00.06,V,00000,N
28,079,011,07,08,02,2020,02,25,00085,V,00061,V,00001,V,00037,V,00037,V,00033,V,00030,V,00164,V,00214,V,00063,V,00076,V,00041,V,00023,V,00029,V,00017,V,00020,V,00022,V,00020,V,00019,V,00010,V,00005,V,00005,V,00004,V,00000,N
28,079,011,08,08,02,2020,02,25,00126,V,00114,V,00037,V,00078,V,00082,V,00079,V,00072,V,00111,V,00132,V,00101,V,00100,V,00073,V,00051,V,00051,V,00036,V,00040,V,00043,V,00041,V,00046,V,00048,V,00049,V,00034,V,00026,V,00000,N
28,079,011,12,08,02,2020,02,25,00257,V,00207,V,00039,V,00135,V,00139,V,00130,V,00119,V,00363,V,00461,V,00198,V,00217,V,00136,V,00087,V,00095,V,00062,V,00071,V,00077,V,00072,V,00076,V,00064,V,00057,V,00042,V,00032,V,00000,N
28,079,011,20,59,02,2020,02,25,008.3,V,005.8,V,002.8,V,001.6,V,003.5,V,003.1,V,002.8,V,003.9,V,006.5,V,005.5,V,003.5,V,002.7,V,001.4,V,001.4,V,001.2,V,000.9,V,000.7,V,001.0,V,001.2,V,001.1,V,001.3,V,001.0,V,000.8,V,00000,N
28,079,011,30,59,02,2020,02,25,002.0,V,001.6,V,000.7,V,000.4,V,000.9,V,000.8,V,000.8,V,001.0,V,001.9,V,001.6,V,001.1,V,000.8,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V,000.4,V,000.4,V,000.4,V,000.5,V,000.3,V,000.4,V,00000,N
28,079,011,35,59,02,2020,02,25,001.2,V,000.9,V,000.5,V,000.4,V,000.6,V,000.6,V,000.6,V,000.6,V,000.9,V,000.9,V,000.7,V,000.6,V,000.3,V,000.3,V,000.3,V,000.2,V,000.2,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.2,V,00000,N
28,079,016,06,48,02,2020,02,25,000.7,V,000.6,V,000.7,V,000.5,V,000.4,V,000.4,V,000.4,V,000.6,V,001.2,V,001.2,V,001.0,V,000.7,V,000.5,V,000.3,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.3,V,000.3,V,000.2,V,000.2,V,00000,N
28,079,016,07,08,02,2020,02,25,00064,V,00047,V,00059,V,00067,V,00014,V,00021,V,00029,V,00087,V,00243,V,00217,V,00174,V,00123,V,00050,V,00008,V,00008,V,00007,V,00008,V,00007,V,00008,V,00007,V,00005,V,00004,V,00003,V,00000,N
28,079,016,08,08,02,2020,02,25,00104,V,00092,V,00090,V,00074,V,00060,V,00059,V,00057,V,00071,V,00105,V,00104,V,00103,V,00082,V,00061,V,00024,V,00024,V,00016,V,00019,V,00019,V,00030,V,00039,V,00028,V,00020,V,00014,V,00000,N
28,079,016,12,08,02,2020,02,25,00203,V,00164,V,00181,V,00177,V,00081,V,00091,V,00102,V,00204,V,00478,V,00438,V,00370,V,00271,V,00138,V,00037,V,00036,V,00028,V,00031,V,00030,V,00042,V,00050,V,00036,V,00026,V,00019,V,00000,N
28,079,016,14,06,02,2020,02,25,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00004,V,00017,V,00037,V,00065,V,00059,V,00059,V,00057,V,00054,V,00045,V,00039,V,00050,V,00059,V,00065,V,00000,N
